Put Your Hands Up (DJ Tonka Radio Edit) - Black & White Brothers,Put Your Hands Up (DJ Tonka Radio Edit),Black & White Brothers,
Isolation - Protostar & Hayve,Isolation,Protostar & Hayve,
Sawtooth - REAPER,Sawtooth,REAPER,
Blackwater - RIOT,Blackwater,RIOT,
Oceans - Rogue,Oceans,Rogue,
Far Away - Slushii,Far Away,Slushii,
Over the Mountain - Ozzy Osbourne,Over the Mountain,Ozzy Osbourne,
Buttercup - MixAndMash,Buttercup,MixAndMash,
Dissolve - Absofacto,Dissolve,Absofacto,
Seal My Fate - Belly,Seal My Fate,Belly,
For the Damaged Coda (Extra Track) - Blonde Redhead,For the Damaged Coda (Extra Track),Blonde Redhead,
Stuttering Light - Chad VanGaalen,Stuttering Light,Chad VanGaalen,
Do You Feel It? - Chaos Chaos,Do You Feel It?,Chaos Chaos,
Memories - Chaos Chaos,Memories,Chaos Chaos,
Terryfold (feat. Justin Roiland) - Chaos Chaos,Terryfold (feat. Justin Roiland),Chaos Chaos,
Stab Him in the Throat - clipping.,Stab Him in the Throat,clipping.,
Look On Down from the Bridge - Mazzy Star,Look On Down from the Bridge,Mazzy Star,
Rick and Morty Theme - Rick and Morty & Ryan Elder,Rick and Morty Theme,Rick and Morty & Ryan Elder,
Jerry's Rick - Rick and Morty & Ryan Elder,Jerry's Rick,Rick and Morty & Ryan Elder,
African Dream Pop - Rick and Morty & Ryan Elder,African Dream Pop,Rick and Morty & Ryan Elder,
Unity Says Goodbye - Rick and Morty & Ryan Elder,Unity Says Goodbye,Rick and Morty & Ryan Elder,
Tales from the Citadel - Rick and Morty & Ryan Elder,Tales from the Citadel,Rick and Morty & Ryan Elder,
Rick and Morty Score Medley - Rick and Morty & Ryan Elder,Rick and Morty Score Medley,Rick and Morty & Ryan Elder,
Human Music - Rick and Morty & Ryan Elder,Human Music,Rick and Morty & Ryan Elder,
"The Flu Hatin' Rap - Rick and Morty, Ryan Elder & Dan Harmon",The Flu Hatin' Rap,"Rick and Morty, Ryan Elder & Dan Harmon",
"Alien Jazz Rap - Rick and Morty, Ryan Elder & Dan Harmon",Alien Jazz Rap,"Rick and Morty, Ryan Elder & Dan Harmon",
"Goodbye Moonmen - Rick and Morty, Ryan Elder & Jemaine Clement",Goodbye Moonmen,"Rick and Morty, Ryan Elder & Jemaine Clement",
"Get Schwifty (C-131) - Rick and Morty, Ryan Elder & Justin Roiland",Get Schwifty (C-131),"Rick and Morty, Ryan Elder & Justin Roiland",
"Raised Up (C-131) - Rick and Morty, Ryan Elder & Justin Roiland",Raised Up (C-131),"Rick and Morty, Ryan Elder & Justin Roiland",
"Help Me I'm Gonna Die - Rick and Morty, Ryan Elder & Justin Roiland",Help Me I'm Gonna Die,"Rick and Morty, Ryan Elder & Justin Roiland",
"Let Me Out - Rick and Morty, Ryan Elder & Justin Roiland",Let Me Out,"Rick and Morty, Ryan Elder & Justin Roiland",
"The Small Intestine Song - Rick and Morty, Ryan Elder, Dan Harmon & Justin Roiland",The Small Intestine Song,"Rick and Morty, Ryan Elder, Dan Harmon & Justin Roiland",
"Fathers and Daughters - Rick and Morty, Ryan Elder, Dan Harmon, Asya Saavedra & Chloe Saavedra",Fathers and Daughters,"Rick and Morty, Ryan Elder, Dan Harmon, Asya Saavedra & Chloe Saavedra",
"The Rick Dance - Rick and Morty, Ryan Elder, Justin Roiland & Lauren Hillman",The Rick Dance,"Rick and Morty, Ryan Elder, Justin Roiland & Lauren Hillman",
"Summer and Tinkles - Rick and Morty, Ryan Elder, Tara Strong & Jevin Smith",Summer and Tinkles,"Rick and Morty, Ryan Elder, Tara Strong & Jevin Smith",
Movement - Oliver Tree,Movement,Oliver Tree,
Human - ASHE,Human,ASHE,
1348 - Bentley Dean,1348,Bentley Dean,
Wanted - C.H.A.Y. & Monstergetdown,Wanted,C.H.A.Y. & Monstergetdown,
I Am Control - Corvad,I Am Control,Corvad,
ASEED - deadmau5,ASEED,deadmau5,
Luna Brave - Donny Carr,Luna Brave,Donny Carr,
Magmagat - Egomorph,Magmagat,Egomorph,
Kuta - FLIP-FLOP,Kuta,FLIP-FLOP,
Embers - Floret Loret,Embers,Floret Loret,
Release the Pressure - Ghost Dance,Release the Pressure,Ghost Dance,
Let Me Go - HVDES,Let Me Go,HVDES,
Overwerk - IMANU & Buunshin,Overwerk,IMANU & Buunshin,
Plastic Wrap (Jay Robinson Remix) - Joy Downer,Plastic Wrap (Jay Robinson Remix),Joy Downer,
London1790 - KEETZ,London1790,KEETZ,
Subconscious - Kindrid,Subconscious,Kindrid,
Afters - Low Poly,Afters,Low Poly,
Shibuya - Maison Ware,Shibuya,Maison Ware,
Space Between (feat. Deniz Reno) [Julian Gray Remix] - Matt Lange,Space Between (feat. Deniz Reno) [Julian Gray Remix],Matt Lange,
Lotus - Mr. Bill & Bandoum,Lotus,Mr. Bill & Bandoum,
Come To Me - One True God,Come To Me,One True God,
Airwolf Six - Posij,Airwolf Six,Posij,
Shoyu - Speaker Honey,Shoyu,Speaker Honey,
Facing Reality - SVNF8,Facing Reality,SVNF8,
Baby I'm Back IV - Pluffaduff,Baby I'm Back IV,Pluffaduff,
Sleigh Bells (PhatCap Remix) - Ronettes,Sleigh Bells (PhatCap Remix),Ronettes,
Here Comes Santa Claus (Trap Remix) - ,Here Comes Santa Claus (Trap Remix),,
California Kids - Weezer,California Kids,Weezer,
Sleep (feat. Andrea Martin) [No Mana Extended Remix] - Michael Woods,Sleep (feat. Andrea Martin) [No Mana Extended Remix],Michael Woods,
Cash Machine - Oliver Tree,Cash Machine,Oliver Tree,
New Light - John Mayer,New Light,John Mayer,
Hell on Earth - Rezz & Yultron,Hell on Earth,Rezz & Yultron,
Flight - Tristam & Braken,Flight,Tristam & Braken,
FALL - deadmau5,FALL,deadmau5,
Shibuya Boy - Frank Ocean,Shibuya Boy,Frank Ocean,
Japan - Throttle,Japan,Throttle,
Kill Process - i_o,Kill Process,i_o,
Rave 444 - i_o,Rave 444,i_o,
Replicate - i_o,Replicate,i_o,
System Error - i_o,System Error,i_o,
Coasted - deadmau5,Coasted,deadmau5,
COASTED (Radio Edit) - deadmau5,COASTED (Radio Edit),deadmau5,
SATRN - deadmau5,SATRN,deadmau5,
SATRN (Radio Edit) - deadmau5,SATRN (Radio Edit),deadmau5,
Her - Artesia.,Her,Artesia.,
Front (Mixed) - Callie Reiff,Front (Mixed),Callie Reiff,
See Through (Mixed) - Callie Reiff,See Through (Mixed),Callie Reiff,
Polyphobia (Mixed) - deadmau5,Polyphobia (Mixed),deadmau5,
Ghosts 'n' Stuff (feat. Rob Swire) [Mixed] - deadmau5,Ghosts 'n' Stuff (feat. Rob Swire) [Mixed],deadmau5,
Let Go (feat. Grabbitz) [Grabbitz Edit] [Mixed] - deadmau5,Let Go (feat. Grabbitz) [Grabbitz Edit] [Mixed],deadmau5,
Are You Not Afraid (Mixed) - deadmau5 & Shotty Horroh,Are You Not Afraid (Mixed),deadmau5 & Shotty Horroh,
Made for You (Alone Again) [Mixed] - Getter,Made for You (Alone Again) [Mixed],Getter,
"All Is Lost (feat. nothing,nowhere.) [Mixed] - Getter","All Is Lost (feat. nothing,nowhere.) [Mixed]",Getter,
Purgatory (Mixed) - Getter,Purgatory (Mixed),Getter,
Possession (Mixed) - i_o,Possession (Mixed),i_o,
Death by Techno (Mixed) - i_o,Death by Techno (Mixed),i_o,
Ghost in the Machine (Mixed) - i_o,Ghost in the Machine (Mixed),i_o,
House of God (Mixed) - i_o,House of God (Mixed),i_o,
Criminals - Rezz & Malaa,Criminals,Rezz & Malaa,
Panini - Lil Nas X,Panini,Lil Nas X,
The Shell Shack - Billy Cobb,The Shell Shack,Billy Cobb,
She Doesn't Love Me - Billy Cobb,She Doesn't Love Me,Billy Cobb,
1955 - Billy Cobb,1955,Billy Cobb,
Dumb Song for Virgins to Cry To - Billy Cobb,Dumb Song for Virgins to Cry To,Billy Cobb,
God Told Me To - Jeremy Greenspan & Borys,God Told Me To,Jeremy Greenspan & Borys,
3 Nights - Dominic Fike,3 Nights,Dominic Fike,
Bring the Madness (Noisestorm Remix) [feat. Mayor Apeshit] - Excision & Pegboard Nerds,Bring the Madness (Noisestorm Remix) [feat. Mayor Apeshit],Excision & Pegboard Nerds,
Handcuffs - The Front Bottoms,Handcuffs,The Front Bottoms,
Wolfman - The Front Bottoms,Wolfman,The Front Bottoms,
Rude Boy - Zeds Dead,Rude Boy,Zeds Dead,
Ain't No Rest for the Wicked - Cage the Elephant,Ain't No Rest for the Wicked,Cage the Elephant,
Salvation - The Strumbellas,Salvation,The Strumbellas,
BOOM - X Ambassadors,BOOM,X Ambassadors,
Loudness & Clarity - Joakim Karud,Loudness & Clarity,Joakim Karud,
Ready to Let Go - Cage the Elephant,Ready to Let Go,Cage the Elephant,
Kickback (feat. Scotty Sire & Heath Hussar) - Myles Parrish,Kickback (feat. Scotty Sire & Heath Hussar),Myles Parrish,
"Please, Punish Me - Tyler Dakin","Please, Punish Me",Tyler Dakin,
"Please, Punish Me (Instrumental) - Tyler Dakin","Please, Punish Me (Instrumental)",Tyler Dakin,
Noticed - Lil Mosey,Noticed,Lil Mosey,
OBLIVION - LSDREAM,OBLIVION,LSDREAM,
TEN OF PENTACLES - LSDREAM,TEN OF PENTACLES,LSDREAM,
PSYCHEDELIC (feat. Taylr Renee) - LSDREAM,PSYCHEDELIC (feat. Taylr Renee),LSDREAM,
TECHNIUM - LSDREAM,TECHNIUM,LSDREAM,
THE SEVENTH RAY (INTERLUDE) - LSDREAM,THE SEVENTH RAY (INTERLUDE),LSDREAM,
AWAKE.EXE - LSDREAM,AWAKE.EXE,LSDREAM,
ACTIVATE - LSDREAM,ACTIVATE,LSDREAM,
TIFERET - LSDREAM,TIFERET,LSDREAM,
PILLARS OF LIGHT - LSDREAM & HOWWLER,PILLARS OF LIGHT,LSDREAM & HOWWLER,
Expand the Universe (feat. Gravitrax) - LSDREAM,Expand the Universe (feat. Gravitrax),LSDREAM,
Rekt (feat. Kayoh) - LSDREAM,Rekt (feat. Kayoh),LSDREAM,
Reflection (feat. KTRL) - LSDREAM,Reflection (feat. KTRL),LSDREAM,
Shadow Self - LSDREAM,Shadow Self,LSDREAM,
WHITE MAGIC (feat. Leah Culver) - LSDREAM,WHITE MAGIC (feat. Leah Culver),LSDREAM,
Eternal Now (feat. Champagne Drip) - LSDREAM,Eternal Now (feat. Champagne Drip),LSDREAM,
OM NAMO (feat. Sarah Hudson) - LSDREAM,OM NAMO (feat. Sarah Hudson),LSDREAM,
Ace of Cups - LSDREAM,Ace of Cups,LSDREAM,
Hello Human (feat. Com3t) - LSDREAM,Hello Human (feat. Com3t),LSDREAM,
Phoenix (feat. Varien) - LSDREAM,Phoenix (feat. Varien),LSDREAM,
Drake’s Dad - Arkells,Drake’s Dad,Arkells,
Knocking At the Door - Arkells,Knocking At the Door,Arkells,
Private School - Arkells,Private School,Arkells,
My Heart’s Always Yours - Arkells,My Heart’s Always Yours,Arkells,
Savannah - Arkells,Savannah,Arkells,
Passenger Seat - Arkells,Passenger Seat,Arkells,
Making Due - Arkells,Making Due,Arkells,
Round and Round - Arkells,Round and Round,Arkells,
Hung Up - Arkells,Hung Up,Arkells,
Come Back Home - Arkells,Come Back Home,Arkells,
A Little Rain (A Song For Pete) - Arkells,A Little Rain (A Song For Pete),Arkells,
And Then Some - Arkells,And Then Some,Arkells,
Hangs the Moon - Arkells,Hangs the Moon,Arkells,
My Heart’s Always Yours (Acoustic) - Arkells,My Heart’s Always Yours (Acoustic),Arkells,
And Then Some (Acoustic) - Arkells,And Then Some (Acoustic),Arkells,
Knocking At the Door (Acoustic) - Arkells,Knocking At the Door (Acoustic),Arkells,
Fake Money - Arkells,Fake Money,Arkells,
Come to Light - Arkells,Come to Light,Arkells,
Cynical Bastards - Arkells,Cynical Bastards,Arkells,
0.465972222222222 - Arkells,11:11,Arkells,
Never Thought That This Would Happen - Arkells,Never Thought That This Would Happen,Arkells,
Dirty Blonde - Arkells,Dirty Blonde,Arkells,
What Are You Holding on To? - Arkells,What Are You Holding on To?,Arkells,
Hey Kids! - Arkells,Hey Kids!,Arkells,
Leather Jacket - Arkells,Leather Jacket,Arkells,
Crawling Through the Window - Arkells,Crawling Through the Window,Arkells,
Systematic - Arkells,Systematic,Arkells,
11: 11 (Acoustic) - Arkells,11: 11 (Acoustic),Arkells,
What Are You Holdin on To? (Acoustic) - Arkells,What Are You Holdin on To? (Acoustic),Arkells,
Take What You Want (feat. Ozzy Osbourne & Travis Scott) (Lookas Remix) - Post Malone,Take What You Want (feat. Ozzy Osbourne & Travis Scott) (Lookas Remix),Post Malone,
Chillin in my House - lofi,Chillin in my House,lofi,
Coffee and Cake - lofi,Coffee and Cake,lofi,
Song for Lazy bone - lofi,Song for Lazy bone,lofi,
Smoking After Lunch - lofi,Smoking After Lunch,lofi,
Sunset - lofi,Sunset,lofi,
Don't Let Go - Weezer,Don't Let Go,Weezer,
Photograph - Weezer,Photograph,Weezer,
Crab - Weezer,Crab,Weezer,
Knock-Down Drag-Out - Weezer,Knock-Down Drag-Out,Weezer,
Smile - Weezer,Smile,Weezer,
Simple Pages - Weezer,Simple Pages,Weezer,
Glorious Day - Weezer,Glorious Day,Weezer,
O Girlfriend - Weezer,O Girlfriend,Weezer,
Power - Eptic,Power,Eptic,
Violence - Eptic,Violence,Eptic,
Beyond the Stars - Eptic,Beyond the Stars,Eptic,
Undefeated - Eptic,Undefeated,Eptic,
Let It Go - Eptic & Dillon Francis,Let It Go,Eptic & Dillon Francis,
Purgatory - 13,Purgatory,13,
Oath - 13,Oath,13,
"Kid Cudi (feat. Lil Uzi Vert, Young Nudy & A$AP Rocky) - Playboi Carti","Kid Cudi (feat. Lil Uzi Vert, Young Nudy & A$AP Rocky)",Playboi Carti,
Shop - Toby Fox,Shop,Toby Fox,
Life & Death - Stonebank,Life & Death,Stonebank,
Sunscreen - Half an Orange,Sunscreen,Half an Orange,
Decoy World VIP (feat. Park Avenue) - Intercom,Decoy World VIP (feat. Park Avenue),Intercom,
Tribe 303 - Aero Chord,Tribe 303,Aero Chord,
The Sound - Aero Chord,The Sound,Aero Chord,
Take Me Home (feat. Nevve) - Aero Chord,Take Me Home (feat. Nevve),Aero Chord,
Burning (feat. Bianca) - Aero Chord,Burning (feat. Bianca),Aero Chord,
Tsukiakari Ame (Deep Mix) - Vintage & Morelli,Tsukiakari Ame (Deep Mix),Vintage & Morelli,
The End of the Game - Weezer,The End of the Game,Weezer,
"Congratulations - PewDiePie, Roomie & Boyinaband",Congratulations,"PewDiePie, Roomie & Boyinaband",
Hollywood's Bleeding - Post Malone,Hollywood's Bleeding,Post Malone,
Saint-Tropez - Post Malone,Saint-Tropez,Post Malone,
Enemies (feat. DaBaby) - Post Malone,Enemies (feat. DaBaby),Post Malone,
Allergic - Post Malone,Allergic,Post Malone,
A Thousand Bad Times - Post Malone,A Thousand Bad Times,Post Malone,
Circles - Post Malone,Circles,Post Malone,
Die For Me (feat. Future & Halsey) - Post Malone,Die For Me (feat. Future & Halsey),Post Malone,
On the Road (feat. Meek Mill & Lil Baby) - Post Malone,On the Road (feat. Meek Mill & Lil Baby),Post Malone,
Take What You Want (feat. Ozzy Osbourne & Travis Scott) - Post Malone,Take What You Want (feat. Ozzy Osbourne & Travis Scott),Post Malone,
I'm Gonna Be - Post Malone,I'm Gonna Be,Post Malone,
Staring at the Sun (feat. SZA) - Post Malone,Staring at the Sun (feat. SZA),Post Malone,
Internet - Post Malone,Internet,Post Malone,
Goodbyes (feat. Young Thug) - Post Malone,Goodbyes (feat. Young Thug),Post Malone,
Myself - Post Malone,Myself,Post Malone,
I Know - Post Malone,I Know,Post Malone,
Wow. - Post Malone,Wow.,Post Malone,
Sunflower (Spider-Man: Into the Spider-Verse) - Post Malone & Swae Lee,Sunflower (Spider-Man: Into the Spider-Verse),Post Malone & Swae Lee,
Blind - Mark Reihill,Blind,Mark Reihill,
We Are Wired - Kubbi,We Are Wired,Kubbi,
All I Got - Oliver Tree,All I Got,Oliver Tree,
All That - Oliver Tree,All That,Oliver Tree,
Welcome to LA - Oliver Tree,Welcome to LA,Oliver Tree,
Upside Down - Oliver Tree,Upside Down,Oliver Tree,
Enemy - Oliver Tree & Whethan,Enemy,Oliver Tree & Whethan,
Dicko Mode (feat. Kusorare) - DJ Splash Drip,Dicko Mode (feat. Kusorare),DJ Splash Drip,
American Screams - Arkells,American Screams,Arkells,
Show Me Don't Tell Me - Arkells,Show Me Don't Tell Me,Arkells,
Eyes on the Prize - Arkells,Eyes on the Prize,Arkells,
Saturday Night - Arkells,Saturday Night,Arkells,
Company Man - Arkells,Company Man,Arkells,
Relentless - Arkells,Relentless,Arkells,
Only for a Moment - Arkells,Only for a Moment,Arkells,
People's Champ - Arkells,People's Champ,Arkells,
Hand Me Downs - Arkells,Hand Me Downs,Arkells,
Island In the Sun - Weezer,Island In the Sun,Weezer,
Hash Pipe - Weezer,Hash Pipe,Weezer,
"It's Been a Long, Long Time - Harry James and His Orchestra","It's Been a Long, Long Time",Harry James and His Orchestra,
Color (feat. Juneau) - Grant,Color (feat. Juneau),Grant,
Wishes (feat. McCall) - Grant,Wishes (feat. McCall),Grant,
Where Will We Go - Grant,Where Will We Go,Grant,
Contagious - Grant & RUNN,Contagious,Grant & RUNN,
Sports - Beach Bunny,Sports,Beach Bunny,
Never Let Me Down - Darren Styles;David Spekter,Never Let Me Down,Darren Styles;David Spekter,
Gunslinga - Pegboard Nerds;MC Mota,Gunslinga,Pegboard Nerds;MC Mota,
Humanity - Max Brhon,Humanity,Max Brhon,
Let It Go - Eptic & Dillon Francis,Let It Go,Eptic & Dillon Francis,
Take Me Home (feat. Nevve) - Aero Chord,Take Me Home (feat. Nevve),Aero Chord,
No Sleep - Bossfight,No Sleep,Bossfight,
Overdose (feat. Philip Strand) - Bossfight,Overdose (feat. Philip Strand),Bossfight,
Never Let Me Down (feat. David Spekter) - Darren Styles,Never Let Me Down (feat. David Spekter),Darren Styles,
Quake - Dirty Audio & Slippy,Quake,Dirty Audio & Slippy,
Carry On (feat. Holly Drummond) - F.O.O.L,Carry On (feat. Holly Drummond),F.O.O.L,
Neon - F.O.O.L & Midranger,Neon,F.O.O.L & Midranger,
Solace - Feint & Laura Brehm,Solace,Feint & Laura Brehm,
Hot - FWLR,Hot,FWLR,
Crank up the Dank - Gammer & Stonebank,Crank up the Dank,Gammer & Stonebank,
Infinite - Habstrakt,Infinite,Habstrakt,
Lasagne - Habstrakt & Bellecour,Lasagne,Habstrakt & Bellecour,
Adventures - Julian Calor,Adventures,Julian Calor,
Monster (feat. Trove) - Julian Calor,Monster (feat. Trove),Julian Calor,
Venus Fly Trap - Kill Paris,Venus Fly Trap,Kill Paris,
Bad Habits (feat. Tylor Maurer) - Kuuro,Bad Habits (feat. Tylor Maurer),Kuuro,
Trigger - Kuuro,Trigger,Kuuro,
Uncaged Vol. 7 Album Mix - Monstercat,Uncaged Vol. 7 Album Mix,Monstercat,
Poison - Nonsens,Poison,Nonsens,
Each Other (feat. Eric Lumiere) - Notaker,Each Other (feat. Eric Lumiere),Notaker,
Melophonic - Notaker,Melophonic,Notaker,
Gunslinga (feat. MC Mota) - Pegboard Nerds,Gunslinga (feat. MC Mota),Pegboard Nerds,
Amnesia - Pixel Terror,Amnesia,Pixel Terror,
Soda (feat. Itsreallyelijah) - Pixel Terror,Soda (feat. Itsreallyelijah),Pixel Terror,
Maxima - Pixel Terror,Maxima,Pixel Terror,
Dystopia - Pixel Terror & JayKode,Dystopia,Pixel Terror & JayKode,
Barbed Wire - Rogue,Barbed Wire,Rogue,
Run - ShockOne & The Bloody Beetroots,Run,ShockOne & The Bloody Beetroots,
Own Me - Slippy,Own Me,Slippy,
Us - Snavs,Us,Snavs,
Drop Bombs - Stonebank,Drop Bombs,Stonebank,
"Stronger - TheFatRat, Slaydit & Anjulie",Stronger,"TheFatRat, Slaydit & Anjulie",
Play - Tokyo Machine,Play,Tokyo Machine,
Saikou - Tokyo Machine,Saikou,Tokyo Machine,
I Can't - Tony Romera,I Can't,Tony Romera,
The Darkness - Xilent,The Darkness,Xilent,
Discarded - Xilent,Discarded,Xilent,
Back to Me - Pegboard Nerds,Back to Me,Pegboard Nerds,
Til Dawn - ShockOne,Til Dawn,ShockOne,
Metaphysical - Slippy,Metaphysical,Slippy,
You Rise - Xilent,You Rise,Xilent,
Possession - i_o,Possession,i_o,
House of God - i_o,House of God,i_o,
Ghost in the Machine - i_o,Ghost in the Machine,i_o,
Come with Me - i_o & Raito,Come with Me,i_o & Raito,
Boyfriend - Ariana Grande & Social House,Boyfriend,Ariana Grande & Social House,
Introspective - Oliver Tree,Introspective,Oliver Tree,
Miracle Man - Oliver Tree,Miracle Man,Oliver Tree,
Alien Boy - Oliver Tree,Alien Boy,Oliver Tree,
All Bets Are Off - Oliver Tree,All Bets Are Off,Oliver Tree,
Do You Feel Me? - Oliver Tree & Whethan,Do You Feel Me?,Oliver Tree & Whethan,
Don't Be a Stranger - Arkells,Don't Be a Stranger,Arkells,
Pork and Beans - Weezer,Pork and Beans,Weezer,
Lonely (feat. The Rigs) - Rezz,Lonely (feat. The Rigs),Rezz,
Stress - Rezz & EDDIE,Stress,Rezz & EDDIE,
Your Soul Will Never Be Released - Rezz & Sayer,Your Soul Will Never Be Released,Rezz & Sayer,
Troublemaker - Weezer,Troublemaker,Weezer,
Big Iron - Marty Robbins,Big Iron,Marty Robbins,
You Don't Mess Around With Jim - Jim Croce,You Don't Mess Around With Jim,Jim Croce,
Twist and Shout - The Beatles,Twist and Shout,The Beatles,
Hurt - Oliver Tree,Hurt,Oliver Tree,
When I'm Down - Whethan & Oliver Tree,When I'm Down,Whethan & Oliver Tree,
Alien Boy - Oliver Tree,Alien Boy,Oliver Tree,
Far Away - Tristam & Braken,Far Away,Tristam & Braken,
Way Down (feat. KARRA) - Au5 & Amidy,Way Down (feat. KARRA),Au5 & Amidy,
Sanctuary - Bad Computer,Sanctuary,Bad Computer,
Let's Roll - Ephixa & Going Quantum,Let's Roll,Ephixa & Going Quantum,
Kababies - Infected Mushroom,Kababies,Infected Mushroom,
Feel Alright - Justin Oh & Rogue,Feel Alright,Justin Oh & Rogue,
Moshi - Pegboard Nerds & Tokyo Machine,Moshi,Pegboard Nerds & Tokyo Machine,
Problems - Stephen Walking & Ephixa,Problems,Stephen Walking & Ephixa,
"Back to You - WRLD, Keepsake & Laszlo",Back to You,"WRLD, Keepsake & Laszlo",
Kiss of Death - Rezz & Deathpact,Kiss of Death,Rezz & Deathpact,
eternity - Homage,eternity,Homage,
"Back to You - WRLD, Keepsake & Laszlo",Back to You,"WRLD, Keepsake & Laszlo",
Walk Man - Tiny Meat Gang,Walk Man,Tiny Meat Gang,
100 Bad Days - AJR,100 Bad Days,AJR,
Lockjaw (feat. Kodak Black) - French Montana,Lockjaw (feat. Kodak Black),French Montana,
"Stronger - TheFatRat, Slaydit & Anjulie",Stronger,"TheFatRat, Slaydit & Anjulie",
Feels Like Summer - Weezer,Feels Like Summer,Weezer,
Undone - The Sweater Song - Weezer,Undone - The Sweater Song,Weezer,
Surf Wax America - Weezer,Surf Wax America,Weezer,
Little Lion Man - Mumford & Sons,Little Lion Man,Mumford & Sons,
Memories - Weezer,Memories,Weezer,
on Drugs - Weezer,on Drugs,Weezer,
Kandi - Oolacile,Kandi,Oolacile,
"Brain, Brain, Go Away - Unlike Pluto","Brain, Brain, Go Away",Unlike Pluto,
Para o mar (feat. Knowsum) - Wun Two,Para o mar (feat. Knowsum),Wun Two,
Curcuma - Wun Two,Curcuma,Wun Two,
Blue Dolphin (feat. Anthony Drawn) - Wun Two,Blue Dolphin (feat. Anthony Drawn),Wun Two,
Vìo - Wun Two,Vìo,Wun Two,
Falling - Rezz & Underoath,Falling,Rezz & Underoath,
Chinese New Year - SALES,Chinese New Year,SALES,
Fourth Impact - Rezz & K?D,Fourth Impact,Rezz & K?D,
I - Rezz,I,Rezz,
In the Beginning - Zeds Dead,In the Beginning,Zeds Dead,
Delusion - 13,Delusion,13,
Pressure - RL Grime,Pressure,RL Grime,
No Sleep (feat. Bonn) - Martin Garrix,No Sleep (feat. Bonn),Martin Garrix,
Intro - Tiny Meat Gang,Intro,Tiny Meat Gang,
No Flex - Tiny Meat Gang,No Flex,Tiny Meat Gang,
